date,price
2015-01-01,150.0
2015-01-02,150.77464722234234
2015-01-03,148.3775875324068
2015-01-04,150.19447733390905
2015-01-05,152.48948676394093
2015-01-06,147.9274455568775
2015-01-07,144.97578141533126
2015-01-08,145.319124601361
2015-01-09,144.6481169319923
2015-01-10,144.6607870967612
2015-01-11,142.7806598989401
2015-01-12,144.82281138462838
2015-01-13,146.65930721338293
2015-01-14,146.8636091512885
2015-01-15,149.5467256392557
2015-01-16,150.70490492448457
2015-01-17,148.73158686214353
2015-01-18,149.65052051273187
2015-01-19,147.45955186001092
2015-01-20,149.5663920033864
2015-01-21,149.50148281327665
2015-01-22,149.11937881087482
2015-01-23,147.580787162557
2015-01-24,150.50271656998066
2015-01-25,150.18978178207192
2015-01-26,149.23262941365536
2015-01-27,148.45961375976853
2015-01-28,149.7621283370216
2015-01-29,150.6795821719206
2015-01-30,151.71560067798185
2015-01-31,152.80226435112536
2015-02-01,158.0995120172265
2015-02-02,157.14617219733162
2015-02-03,155.93847261473198
2015-02-04,154.00698982005835
2015-02-05,155.5630221174742
2015-02-06,158.40939054772664
2015-02-07,158.1810780082489
2015-02-08,156.15692042713172
2015-02-09,154.19672553309033
2015-02-10,155.839601314517
2015-02-11,157.72998526722466
2015-02-12,159.1410117172931
2015-02-13,157.5372699903457
2015-02-14,158.17000646403105
2015-02-15,158.51674844343754
2015-02-16,159.11965404442506
2015-02-17,161.37524319556076
2015-02-18,162.00153939626293
2015-02-19,163.80061136540598
2015-02-20,164.03279160514597
2015-02-21,164.83941239037264
2015-02-22,166.54503933275953
2015-02-23,162.8240084480756
2015-02-24,162.0634214130099
2015-02-25,160.924008770756
2015-02-26,159.36912627718073
2015-02-27,158.7359547551851
2015-02-28,162.57467832348595
2015-03-01,160.42941746456333
2015-03-02,162.95192400688217
2015-03-03,158.74588042115624
2015-03-04,157.96649070335098
2015-03-05,158.42768272219422
2015-03-06,159.95340358896314
2015-03-07,161.8120527649491
2015-03-08,163.9041360618155
2015-03-09,163.0638757115067
2015-03-10,161.93788338303685
2015-03-11,164.19863080624174
2015-03-12,163.762348280543
2015-03-13,160.5616999966711
2015-03-14,157.77703710889276
2015-03-15,155.56366187457306
2015-03-16,156.84166248957595
2015-03-17,157.24922298983105
2015-03-18,159.02449692666104
2015-03-19,158.0137168701002
2015-03-20,158.46453159998532
2015-03-21,160.0898304615988
2015-03-22,159.36792623697258
2015-03-23,160.5750198726286
2015-03-24,158.96579856447474
2015-03-25,158.11517095728206
2015-03-26,157.2228260584684
2015-03-27,154.34394971477903
2015-03-28,155.5869640991983
2015-03-29,154.49544604794954
2015-03-30,154.5802790514026
2015-03-31,155.80991920371665
2015-04-01,156.96473860313466
2015-04-02,158.67406589703572
2015-04-03,158.48395853695078
2015-04-04,157.48642135916617
2015-04-05,157.34423419901427
2015-04-06,153.27215661926016
2015-04-07,149.87137794437876
2015-04-08,146.83346706868616
2015-04-09,144.5963530894972
2015-04-10,145.56083709027035
2015-04-11,143.55042272337846
2015-04-12,142.74831340620457
2015-04-13,145.75048290135845
2015-04-14,144.98607318559885
2015-04-15,146.73153900001054
2015-04-16,144.64084488503937
2015-04-17,144.22442351802712
2015-04-18,142.13272789410723
2015-04-19,141.42566423947736
2015-04-20,143.3601549087022
2015-04-21,139.5620733573612
2015-04-22,140.56966250638135
