date,price
2015-01-01,4000.0
2015-01-02,4014.7015869753204
2015-01-03,3968.4841707663886
2015-01-04,4003.2519151015176
2015-01-05,4047.0390019268025
2015-01-06,3959.3360043885814
2015-01-07,3902.1375778854213
2015-01-08,3908.6324893839787
2015-01-09,3895.4733673089536
2015-01-10,3895.562905186508
2015-01-11,3858.888049632569
2015-01-12,3898.3913736829777
2015-01-13,3933.764373938188
2015-01-14,3937.5513021780944
2015-01-15,3989.0545148206484
2015-01-16,4011.113120049945
2015-01-17,3973.0689058866474
2015-01-18,3990.5679062199906
2015-01-19,3948.257484893762
2015-01-20,3988.632820722581
2015-01-21,3987.226618671393
2015-01-22,3979.727127708971
2015-01-23,3949.96110820331
2015-01-24,4005.9531438709437
2015-01-25,3999.793893324798
2015-01-26,3981.264746025226
2015-01-27,3966.246641352028
2015-01-28,3991.110559928987
2015-01-29,4008.538721311005
2015-01-30,4028.202337093052
2015-01-31,4048.7927461201593
2015-02-01,4149.202896129444
2015-02-02,4131.007903009207
2015-02-03,4107.960296018252
2015-02-04,4071.0982511532557
2015-02-05,4100.50790715181
2015-02-06,4154.224134993164
2015-02-07,4149.746009187433
2015-02-08,4111.278878774382
2015-02-09,4073.892361611764
2015-02-10,4104.932984814736
2015-02-11,4140.558241587923
2015-02-12,4167.027293259829
2015-02-13,4136.583574353927
2015-02-14,4148.372868974528
2015-02-15,4154.752095418972
2015-02-16,4165.956703818221
2015-02-17,4208.223199211518
2015-02-18,4219.80679127928
2015-02-19,4253.324835055381
2015-02-20,4257.494143170607
2015-02-21,4272.386437581838
2015-02-22,4303.997248256263
2015-02-23,4234.372222719893
2015-02-24,4219.952376562485
2015-02-25,4198.401301392768
2015-02-26,4168.987116096498
2015-02-27,4156.888263008849
2015-02-28,4228.855182028564
2015-03-01,4188.435201442751
2015-03-02,4235.578593052609
2015-03-03,4156.409011019509
2015-03-04,4141.540150677049
2015-03-05,4150.076111047031
2015-03-06,4178.6461335840095
2015-03-07,4213.380716666157
2015-03-08,4252.361816820198
2015-03-09,4236.484811951868
2015-03-10,4215.232656143119
2015-03-11,4257.349617881498
2015-03-12,4249.03167648136
2015-03-13,4188.906347488338
2015-03-14,4136.305126719083
2015-03-15,4094.279645029178
2015-03-16,4118.304526602403
2015-03-17,4125.841521139772
2015-03-18,4159.158890963456
2015-03-19,4139.9419524099085
2015-03-20,4148.27642944901
2015-03-21,4178.698983572531
2015-03-22,4164.95629492102
2015-03-23,4187.477895996829
2015-03-24,4157.053690819056
2015-03-25,4140.859704363113
2015-03-26,4123.855041427086
2015-03-27,4069.1834816291866
2015-03-28,4092.588281399126
2015-03-29,4071.732446262559
2015-03-30,4073.1788279542625
2015-03-31,4096.317421437957
2015-04-01,4117.989504382949
2015-04-02,4150.062149487396
2015-04-03,4146.3153879867305
2015-04-04,4127.342848820278
2015-04-05,4124.494201388025
2015-04-06,4047.1960676913923
2015-04-07,3982.178738923502
2015-04-08,3923.7372493525754
2015-04-09,3880.4470088865246
2015-04-10,3898.909353927618
2015-04-11,3859.90737019686
2015-04-12,3844.21229642219
2015-04-13,3902.096894144447
2015-04-14,3887.1953666252625
2015-04-15,3920.6758306121983
2015-04-16,3880.2178824983134
2015-04-17,3872.01621226015
2015-04-18,3831.3476607933135
2015-04-19,3817.4620969050316
2015-04-20,3854.8323612819904
2015-04-21,3780.873393714866
2015-04-22,3800.3548070454613
2015-04-23,3811.4267460201604
2015-04-24,3786.643693989782
2015-04-25,3725.856637144222
2015-04-26,3729.701333120369
2015-04-27,3708.167309764975
2015-04-28,3718.757325875536
2015-04-29,3720.473080574111
2015-04-30,3789.4723580717027
2015-05-01,3780.0084468740192
2015-05-02,3737.1913957266515
2015-05-03,3745.5956346487055
2015-05-04,3755.7525288127067
2015-05-05,3814.8979046137542
2015-05-06,3852.016072102104
2015-05-07,3868.4607768657256
2015-05-08,3934.022672218259
2015-05-09,3882.1792918747065
2015-05-10,3854.942382211463
2015-05-11,3815.4673827615225
2015-05-12,3799.451193181314
2015-05-13,3741.4003702427967
2015-05-14,3769.2475728466757
2015-05-15,3760.564662287677
2015-05-16,3699.158045740582
2015-05-17,3657.585192706814
2015-05-18,3671.394457952573
2015-05-19,3707.2431170569826
2015-05-20,3792.9451338466856
2015-05-21,3921.194725574389
2015-05-22,3940.504802854675
2015-05-23,3897.3702159826043
2015-05-24,3805.09280652192
2015-05-25,3817.4758669807065
2015-05-26,3783.256107333109
2015-05-27,3766.2839523499597
2015-05-28,3741.033061952043
2015-05-29,3735.8630637607266
2015-05-30,3782.1001034450314
2015-05-31,3789.6501029414258
2015-06-01,3783.6472893855002
2015-06-02,3740.273428995455
2015-06-03,3670.702609507078
2015-06-04,3651.2967160035632
2015-06-05,3649.849830504664
2015-06-06,3724.5496955638587
2015-06-07,3730.8519922154505
2015-06-08,3773.463705438979
2015-06-09,3752.9618186686416
2015-06-10,3703.664886295117
2015-06-11,3664.137362370594
2015-06-12,3634.905586820427
2015-06-13,3724.4947593906577
2015-06-14,3690.7550220079816
2015-06-15,3726.8080480412104
2015-06-16,3689.6344064781383
2015-06-17,3729.6109059607106
2015-06-18,3746.7258022567803
2015-06-19,3740.8756851848775
2015-06-20,3739.9454019314294
2015-06-21,3713.0732774735093
2015-06-22,3732.698332967712
2015-06-23,3714.2837128007823
2015-06-24,3663.80519857092
2015-06-25,3611.868834493829
2015-06-26,3619.716747333093
2015-06-27,3685.8990817827616
2015-06-28,3693.3802902039924
2015-06-29,3689.202708007405
2015-06-30,3701.968933370766
2015-07-01,3758.0003049232637
2015-07-02,3768.164594453937
2015-07-03,3751.4485791887682
2015-07-04,3799.6147503968605
2015-07-05,3818.947317173856
2015-07-06,3886.861973293538
